occupation,hierarchy_level,mechanism_of_death,deaths,population
"Crushing, grinding, polishing, mixing, and blending workers",2,Cut/Pierce,0,194
"Crushing, grinding, polishing, mixing, and blending workers",2,Motor Vehicle Traffic,0,194
"Crushing, grinding, polishing, mixing, and blending workers",2,Fire/Flame,0,194
"Crushing, grinding, polishing, mixing, and blending workers",2,Fall,0,194
"Crushing, grinding, polishing, mixing, and blending workers",2,Poisoning,0,194
"Crushing, grinding, polishing, mixing, and blending workers",2,Struck by or against,0,194
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",2,Total,3,74
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",3,Total,3,74
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",2,Cut/Pierce,0,74
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",3,Cut/Pierce,0,74
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",2,Motor Vehicle Traffic,0,74
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",3,Motor Vehicle Traffic,0,74
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",2,Fire/Flame,0,74
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",3,Fire/Flame,0,74
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",2,Fall,0,74
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",3,Fall,0,74
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",2,Poisoning,0,74
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",3,Poisoning,0,74
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",2,Struck by or against,0,74
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",3,Struck by or against,0,74
"Furnace, kiln, oven, drier, and kettle operators and tenders",2,Total,3,23
"Furnace, kiln, oven, drier, and kettle operators and tenders",3,Total,3,23
"Furnace, kiln, oven, drier, and kettle operators and tenders",2,Cut/Pierce,0,23
"Furnace, kiln, oven, drier, and kettle operators and tenders",3,Cut/Pierce,0,23
"Furnace, kiln, oven, drier, and kettle operators and tenders",2,Motor Vehicle Traffic,0,23
"Furnace, kiln, oven, drier, and kettle operators and tenders",3,Motor Vehicle Traffic,0,23
"Furnace, kiln, oven, drier, and kettle operators and tenders",2,Fire/Flame,1,23
"Furnace, kiln, oven, drier, and kettle operators and tenders",3,Fire/Flame,1,23
"Furnace, kiln, oven, drier, and kettle operators and tenders",2,Fall,0,23
"Furnace, kiln, oven, drier, and kettle operators and tenders",3,Fall,0,23
"Furnace, kiln, oven, drier, and kettle operators and tenders",2,Poisoning,0,23
"Furnace, kiln, oven, drier, and kettle operators and tenders",3,Poisoning,0,23
"Furnace, kiln, oven, drier, and kettle operators and tenders",2,Struck by or against,0,23
"Furnace, kiln, oven, drier, and kettle operators and tenders",3,Struck by or against,0,23
"Inspectors, testers, sorters, samplers, and weighers",2,Total,9,574
"Inspectors, testers, sorters, samplers, and weighers",3,Total,9,574
"Inspectors, testers, sorters, samplers, and weighers",2,Cut/Pierce,0,574
"Inspectors, testers, sorters, samplers, and weighers",3,Cut/Pierce,0,574
"Inspectors, testers, sorters, samplers, and weighers",2,Motor Vehicle Traffic,3,574
"Inspectors, testers, sorters, samplers, and weighers",3,Motor Vehicle Traffic,3,574
"Inspectors, testers, sorters, samplers, and weighers",2,Fire/Flame,0,574
"Inspectors, testers, sorters, samplers, and weighers",3,Fire/Flame,0,574
"Inspectors, testers, sorters, samplers, and weighers",2,Fall,0,574
"Inspectors, testers, sorters, samplers, and weighers",3,Fall,0,574
"Inspectors, testers, sorters, samplers, and weighers",2,Poisoning,0,574
"Inspectors, testers, sorters, samplers, and weighers",3,Poisoning,0,574
"Inspectors, testers, sorters, samplers, and weighers",2,Struck by or against,0,574
"Inspectors, testers, sorters, samplers, and weighers",3,Struck by or against,0,574
Packaging and filling machine operators and tenders,2,Total,0,395
Packaging and filling machine operators and tenders,3,Total,0,395
Packaging and filling machine operators and tenders,2,Cut/Pierce,0,395
Packaging and filling machine operators and tenders,3,Cut/Pierce,0,395
Packaging and filling machine operators and tenders,2,Motor Vehicle Traffic,0,395
Packaging and filling machine operators and tenders,3,Motor Vehicle Traffic,0,395
Packaging and filling machine operators and tenders,2,Fire/Flame,0,395
Packaging and filling machine operators and tenders,3,Fire/Flame,0,395
Packaging and filling machine operators and tenders,2,Fall,0,395
Packaging and filling machine operators and tenders,3,Fall,0,395
Packaging and filling machine operators and tenders,2,Poisoning,0,395
Packaging and filling machine operators and tenders,3,Poisoning,0,395
Packaging and filling machine operators and tenders,2,Struck by or against,1,395
Packaging and filling machine operators and tenders,3,Struck by or against,1,395
Painting workers,2,Total,6,163
Painting workers,2,Cut/Pierce,0,163
Painting workers,2,Motor Vehicle Traffic,0,163
Painting workers,2,Fire/Flame,1,163
Painting workers,2,Fall,0,163
Painting workers,2,Poisoning,0,163
Painting workers,2,Struck by or against,0,163
"Coating, painting, and spraying machine setters, operators, and tenders",3,Total,1,92
"Coating, painting, and spraying machine setters, operators, and tenders",3,Cut/Pierce,0,92
"Coating, painting, and spraying machine setters, operators, and tenders",3,Motor Vehicle Traffic,0,92
"Coating, painting, and spraying machine setters, operators, and tenders",3,Fire/Flame,0,92
"Coating, painting, and spraying machine setters, operators, and tenders",3,Fall,1,92
"Coating, painting, and spraying machine setters, operators, and tenders",3,Poisoning,0,92
"Coating, painting, and spraying machine setters, operators, and tenders",3,Struck by or against,0,92
"Painters, transportation equipment",3,Total,4,58
"Painters, transportation equipment",3,Cut/Pierce,0,58
"Painters, transportation equipment",3,Motor Vehicle Traffic,0,58
"Painters, transportation equipment",3,Fire/Flame,1,58
"Painters, transportation equipment",3,Fall,0,58
"Painters, transportation equipment",3,Poisoning,0,58
"Painters, transportation equipment",3,Struck by or against,0,58
"Painting, coating, and decorating workers",3,Total,1,13
"Painting, coating, and decorating workers",3,Cut/Pierce,0,13
"Painting, coating, and decorating workers",3,Motor Vehicle Traffic,0,13
"Painting, coating, and decorating workers",3,Fire/Flame,0,13
"Painting, coating, and decorating workers",3,Fall,0,13
"Painting, coating, and decorating workers",3,Poisoning,0,13
"Painting, coating, and decorating workers",3,Struck by or against,1,13
Miscellaneous production workers,2,Total,25,824
Miscellaneous production workers,2,Cut/Pierce,3,824
Miscellaneous production workers,2,Motor Vehicle Traffic,1,824
Miscellaneous production workers,2,Fire/Flame,1,824
Miscellaneous production workers,2,Fall,6,824
Miscellaneous production workers,2,Poisoning,4,824
Miscellaneous production workers,2,Struck by or against,10,824
Cooling and freezing equipment operators and tenders,3,Total,1,9
Cooling and freezing equipment operators and tenders,3,Cut/Pierce,0,9
Cooling and freezing equipment operators and tenders,3,Motor Vehicle Traffic,0,9
Cooling and freezing equipment operators and tenders,3,Fire/Flame,0,9
Cooling and freezing equipment operators and tenders,3,Fall,0,9
Cooling and freezing equipment operators and tenders,3,Poisoning,1,9
Cooling and freezing equipment operators and tenders,3,Struck by or against,0,9
"Molders, shapers, and casters, except metal and plastic",3,Total,1,47
"Molders, shapers, and casters, except metal and plastic",3,Cut/Pierce,0,47
"Molders, shapers, and casters, except metal and plastic",3,Motor Vehicle Traffic,0,47
"Molders, shapers, and casters, except metal and plastic",3,Fire/Flame,0,47
"Molders, shapers, and casters, except metal and plastic",3,Fall,0,47
"Molders, shapers, and casters, except metal and plastic",3,Poisoning,0,47
"Molders, shapers, and casters, except metal and plastic",3,Struck by or against,1,47
"Paper goods machine setters, operators, and tenders",3,Total,0,99
"Paper goods machine setters, operators, and tenders",3,Cut/Pierce,0,99
"Paper goods machine setters, operators, and tenders",3,Motor Vehicle Traffic,1,99
"Paper goods machine setters, operators, and tenders",3,Fire/Flame,0,99
"Paper goods machine setters, operators, and tenders",3,Fall,0,99
"Paper goods machine setters, operators, and tenders",3,Poisoning,0,99
"Paper goods machine setters, operators, and tenders",3,Struck by or against,0,99
Helpers--production workers,3,Total,3,355
Helpers--production workers,3,Cut/Pierce,0,355
Helpers--production workers,3,Motor Vehicle Traffic,0,355
Helpers--production workers,3,Fire/Flame,0,355
Helpers--production workers,3,Fall,0,355
Helpers--production workers,3,Poisoning,0,355
Helpers--production workers,3,Struck by or against,0,355
Transportation and material moving occupations,0,Total,1443,"10,841"
Transportation and material moving occupations,0,Cut/Pierce,84,"10,841"
Transportation and material moving occupations,0,Motor Vehicle Traffic,1014,"10,841"
Transportation and material moving occupations,0,Fire/Flame,11,"10,841"
Transportation and material moving occupations,0,Fall,82,"10,841"
Transportation and material moving occupations,0,Poisoning,102,"10,841"
Transportation and material moving occupations,0,Struck by or against,145,"10,841"
Air transportation workers,1,Total,71,278
Air transportation workers,1,Cut/Pierce,0,278
Air transportation workers,1,Motor Vehicle Traffic,70,278
Air transportation workers,1,Fire/Flame,0,278
Air transportation workers,1,Fall,0,278
Air transportation workers,1,Poisoning,0,278
Air transportation workers,1,Struck by or against,0,278
Aircraft pilots and flight engineers,2,Total,70,124
Aircraft pilots and flight engineers,2,Cut/Pierce,0,124
Aircraft pilots and flight engineers,2,Motor Vehicle Traffic,69,124
Aircraft pilots and flight engineers,2,Fire/Flame,0,124
Aircraft pilots and flight engineers,2,Fall,0,124
Aircraft pilots and flight engineers,2,Poisoning,0,124
Aircraft pilots and flight engineers,2,Struck by or against,0,124
"Airline pilots, copilots, and flight engineers",3,Total,7,84
"Airline pilots, copilots, and flight engineers",3,Cut/Pierce,0,84
"Airline pilots, copilots, and flight engineers",3,Motor Vehicle Traffic,7,84
"Airline pilots, copilots, and flight engineers",3,Fire/Flame,0,84
"Airline pilots, copilots, and flight engineers",3,Fall,0,84
"Airline pilots, copilots, and flight engineers",3,Poisoning,0,84
"Airline pilots, copilots, and flight engineers",3,Struck by or against,0,84
Commercial pilots,3,Total,63,41
Commercial pilots,3,Cut/Pierce,0,41
Commercial pilots,3,Motor Vehicle Traffic,62,41
Commercial pilots,3,Fire/Flame,0,41
Commercial pilots,3,Fall,0,41
Commercial pilots,3,Poisoning,0,41
Commercial pilots,3,Struck by or against,0,41
Flight attendants,2,Total,1,119
Flight attendants,3,Total,1,119
Flight attendants,2,Cut/Pierce,0,119
Flight attendants,3,Cut/Pierce,0,119
Flight attendants,2,Motor Vehicle Traffic,0,119
Flight attendants,3,Motor Vehicle Traffic,0,119
Flight attendants,2,Fire/Flame,0,119
Flight attendants,3,Fire/Flame,0,119
Flight attendants,2,Fall,0,119
Flight attendants,3,Fall,0,119
Flight attendants,2,Poisoning,0,119
Flight attendants,3,Poisoning,0,119
Flight attendants,2,Struck by or against,0,119
Flight attendants,3,Struck by or against,0,119
Motor vehicle operators,1,Total,1044,"4,536"
Motor vehicle operators,1,Cut/Pierce,53,"4,536"
Motor vehicle operators,1,Motor Vehicle Traffic,801,"4,536"
Motor vehicle operators,1,Fire/Flame,4,"4,536"
Motor vehicle operators,1,Fall,44,"4,536"
Motor vehicle operators,1,Poisoning,63,"4,536"
Motor vehicle operators,1,Struck by or against,76,"4,536"
Bus drivers,2,Total,16,681
Bus drivers,2,Cut/Pierce,1,681
Bus drivers,2,Motor Vehicle Traffic,11,681
Bus drivers,2,Fire/Flame,0,681
Bus drivers,2,Fall,4,681
Bus drivers,2,Poisoning,0,681
Bus drivers,2,Struck by or against,0,681
"Bus drivers, transit and intercity",3,Total,10,184
"Bus drivers, transit and intercity",3,Cut/Pierce,0,184
"Bus drivers, transit and intercity",3,Motor Vehicle Traffic,8,184
"Bus drivers, transit and intercity",3,Fire/Flame,0,184
"Bus drivers, transit and intercity",3,Fall,0,184
"Bus drivers, transit and intercity",3,Poisoning,0,184
"Bus drivers, transit and intercity",3,Struck by or against,0,184
"Bus drivers, school or special client",3,Total,6,498
"Bus drivers, school or special client",3,Cut/Pierce,1,498
"Bus drivers, school or special client",3,Motor Vehicle Traffic,3,498
"Bus drivers, school or special client",3,Fire/Flame,0,498
"Bus drivers, school or special client",3,Fall,0,498
"Bus drivers, school or special client",3,Poisoning,0,498
"Bus drivers, school or special client",3,Struck by or against,0,498
Driver/sales workers and truck drivers,2,Total,966,"3,408"
Driver/sales workers and truck drivers,2,Cut/Pierce,37,"3,408"
